,O_All Other 3s,O_In the Paint,O_Rim,O_Corner 3 Left,O_Corner 3 Right,O_Mid 2,D_All Other 3s,D_In the Paint,D_Rim,D_Corner 3 Left,D_Corner 3 Right,D_Mid 2
Boston College,0.351493848857645,0.4570446735395189,0.6252587991718427,0.44776119402985076,0.35294117647058826,0.3951048951048951,0.35241502683363146,0.36716417910447763,0.6653386454183267,0.5263157894736842,0.41333333333333333,0.34552845528455284
Boston University,0.35714285714285715,0.32857142857142857,0.6481481481481481,0.25,0.3333333333333333,0.24242424242424243,0.3974358974358974,0.603448275862069,0.64,0.16666666666666666,0.45454545454545453,0.48148148148148145
Bowling Green,0.37037037037037035,0.25,0.5714285714285714,0.0,1.0,0.2,0.391304347826087,0.5555555555555556,0.4166666666666667,0.0,0.6666666666666666,0.75
Bradley,0.37333333333333335,0.3515625,0.6861313868613139,0.4444444444444444,0.391304347826087,0.27906976744186046,0.3425414364640884,0.4326923076923077,0.6666666666666666,0.42857142857142855,0.35714285714285715,0.40816326530612246
Brown,0.37254901960784315,0.4375,0.45,0.0,0.14285714285714285,0.2777777777777778,0.37209302325581395,0.4888888888888889,0.6612903225806451,0.0,0.6,0.48148148148148145
Bryant University,0.273972602739726,0.3191489361702128,0.5185185185185185,0.25,0.5,0.3055555555555556,0.47368421052631576,0.5319148936170213,0.7045454545454546,0.4,0.2857142857142857,0.41379310344827586
Bucknell,0.4315068493150685,0.45535714285714285,0.6790123456790124,0.375,0.3,0.45,0.3473684210526316,0.3464566929133858,0.674074074074074,0.42857142857142855,0.0,0.42857142857142855
Buffalo,0.34297520661157027,0.44654088050314467,0.5636363636363636,0.4642857142857143,0.42857142857142855,0.2708333333333333,0.3116883116883117,0.42011834319526625,0.68125,0.45454545454545453,0.375,0.3950617283950617
Butler,0.3389830508474576,0.43958868894601544,0.6940639269406392,0.453125,0.3333333333333333,0.3271375464684015,0.37152209492635024,0.4060324825986079,0.6375,0.5652173913043478,0.31746031746031744,0.3953488372093023
Cal Lutheran,0.4074074074074074,0.5,0.8666666666666667,0.5,0.0,0.3076923076923077,0.4,0.6153846153846154,0.7,0.0,0.0,0.42857142857142855
Cal Poly,0.425,0.21052631578947367,0.45714285714285713,1.0,0.5,0.38461538461538464,0.41379310344827586,0.3333333333333333,0.75,0.0,1.0,0.3333333333333333
Cal State Bakersfield,0.24390243902439024,0.4032258064516129,0.6415094339622641,0.3333333333333333,0.375,0.24390243902439024,0.34285714285714286,0.45161290322580644,0.7457627118644068,0.8571428571428571,0.0,0.2962962962962963
